Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Frank Darabont,USA,14 October 1994,The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton"
Christopher Nolan,USA,18 July 2008,The Dark Knight,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart"
Francis Ford Coppola,USA,24 March 1972,The Godfather,9.2,"Marlon Brando,Al Pacino,James Caan"
Peter Jackson,USA,17 December 2003,The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen"
Michel Gondry,USA,19 March 2004,Eternal Sunshine of the Spotless Mind,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson"
Darren Aronofsky,USA,15 December 2000,Requiem for a Dream,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly"
Quentin Tarantino,Netherlands,5 August 1993,Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen"
Chan-wook Park,Netherlands,11 November 2004,Oldboy,8.4,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang"
Richard Marquand,USA,25 May 1983,Star Wars: Episode VI - Return of the Jedi,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher"
Hayao Miyazaki,USA,19 December 1997,Princess Mononoke,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka"
Damien Chazelle,Netherlands,13 November 2014,Whiplash,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist"
Fritz Lang,Netherlands,16 October 1931,M,8.3,"Peter Lorre,Ellen Widmann,Inge Landgut"
Shûsuke Kaneko,Japan,17 June 2006,Death Note,7.7,"Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto"
Roger Allers,USA,24 June 1994,The Lion King,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones"
Martin McDonagh,USA,29 February 2008,In Bruges,7.9,"Colin Farrell,Brendan Gleeson,Ciarán Hinds"
Billy Wilder,Australia,29 September 1950,Sunset Blvd.,8.4,"William Holden,Gloria Swanson,Erich von Stroheim"
George Roy Hill,USA,24 September 1969,Butch Cassidy and the Sundance Kid,8.0,"Paul Newman,Robert Redford,Katharine Ross"
Hayao Miyazaki,Japan,2 August 1986,Castle in the Sky,8.0,"Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui"
Jean-Pierre Melville,France,25 October 1967,Le Samouraï,8.1,"Alain Delon,François Périer,Nathalie Delon"
Hayao Miyazaki,USA,25 November 1987,Nausicaä of the Valley of the Wind,8.1,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda"
José Padilha,Netherlands,22 May 2008,Elite Squad,8.1,"Wagner Moura,André Ramiro,Caio Junqueira"
Henry Koster,USA,21 December 1950,Harvey,7.9,"James Stewart,Wallace Ford,William H. Lynn"
Richard Kelly,Netherlands,20 June 2002,Donnie Darko,8.0,"Jake Gyllenhaal,Jena Malone,Mary McDonnell"
Terry George,USA,4 February 2005,Hotel Rwanda,8.1,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
Alfred Hitchcock,USA,29 May 1954,Dial M for Murder,8.2,"Ray Milland,Grace Kelly,Robert Cummings"
Hayao Miyazaki,USA,17 June 2005,Howl's Moving Castle,8.2,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin"
François Truffaut,USA,16 November 1959,The 400 Blows,8.1,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier"
William Wyler,Netherlands,6 October 1960,Ben-Hur,8.1,"Charlton Heston,Jack Hawkins,Stephen Boyd"
John Huston,USA,18 October 1941,The Maltese Falcon,8.0,"Humphrey Bogart,Mary Astor,Gladys George"
Neill Blomkamp,USA,14 August 2009,District 9,7.9,"Sharlto Copley,David James,Jason Cope"
Rob Reiner,USA,2 March 1984,This Is Spinal Tap,7.9,"Rob Reiner,Michael McKean,Christopher Guest"
Sergei M. Eisenstein,Soviet Union,24 December 1925,Battleship Potemkin,8.0,"Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov"
Vincent Paronnaud,USA,22 February 2008,Persepolis,8.0,"Chiara Mastroianni,Catherine Deneuve,Gena Rowlands"
Henry Selick,USA,29 October 1993,The Nightmare Before Christmas,8.0,"Danny Elfman,Chris Sarandon,Catherine O'Hara"
Doug Liman,USA,6 June 2014,Edge of Tomorrow,7.9,"Tom Cruise,Emily Blunt,Bill Paxton"
Alper Caglar,Netherlands,1 December 2016,The Mountain II,8.9,"Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe"
Peter Jackson,USA,17 December 2014,The Hobbit: The Battle of the Five Armies,7.4,"Ian McKellen,Martin Freeman,Richard Armitage"
Furkan Kopuz,Turkey,18 November 2018,Evrensel Döngü: Yasam Agacina Yolculuk,7.5,"Furkan Kopuz,Adem Yildirim,Busenur Sahin"
Ertem Egilmez,Turkey,April 1975,The Chaos Class,9.3,"Kemal Sunal,Münir Özkul,Halit Akçatepe"
Erdal Besikçioglu,2010–2019,TV Series,Behzat Ç.: Bir Ankara Polisiyesi,8.7,"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan"
Murat Cemcir,2012–2013,TV Series,Isler Güçler,8.6,"Murat Cemcir,Ahmet Kural,Sadi Celil Cengiz"
Ahmet Kural,2014–2015,TV Series,Kardes Payi,8.6,"Ahmet Kural,Murat Cemcir,Seda Bakan"
Çagatay Ulusoy,2016–2017,TV Series,Içerde,8.0,"Çagatay Ulusoy,Aras Bulut Iynemli,Çetin Tekindor"
Kenan Imirzalioglu,2009–2011,TV Series,Ezel,8.6,"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener"
Ali Atay,2011–2014,TV Series,Leyla and Mecnun,9.1,"Ali Atay,Ahmet Mümtaz Taylan,Serkan Keskin"
Mehmet Bozdag,2014–2019,TV Series,Dirilis: Ertugrul,7.6,"Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun"
Erdal Besikçioglu,2016,TV Series,46 Yok Olan,8.5,"Erdal Besikçioglu,Yasemin Kay Allen,Melis Birkan"
Furkan Kopuz,Turkey,26 December 2015,Bilincsizler,7.4,"Nuray Guneci,Furkan Kopuz,Metin Cemal Aydin"
Furkan Kopuz,Turkey,19 May 2013,Sekiz Cinayeti,6.0,"Furkan Kopuz,Ömer Faruk Kopuz,Ercan Kopuz"
Christopher Nolan,USA,24 May 2002,Insomnia,7.2,"Al Pacino,Robin Williams,Hilary Swank"
Faruk Aksoy,USA,25 April 2012,Conquest 1453,6.7,"Devrim Evin,Ibrahim Celikkol,Dilek Serbest"
Peter Jackson,USA,13 December 2013,The Hobbit: The Desolation of Smaug,7.8,"Ian McKellen,Martin Freeman,Richard Armitage"
Alejandro Amenábar,USA,10 August 2001,The Others,7.6,"Nicole Kidman,Christopher Eccleston,Fionnula Flanagan"
Christopher Nolan,Netherlands,6 May 1999,Following,7.5,"Jeremy Theobald,Alex Haw,Lucy Russell"
James Cameron,USA,19 December 1997,Titanic,7.8,"Leonardo DiCaprio,Kate Winslet,Billy Zane"
Edward Zwick,USA,5 December 2003,The Last Samurai,7.7,"Tom Cruise,Ken Watanabe,Billy Connolly"
George Lucas,USA,19 May 2005,Star Wars: Episode III - Revenge of the Sith,7.5,"Hayden Christensen,Natalie Portman,Ewan McGregor"
Alejandro G. Iñárritu,USA,14 November 2014,Birdman or (The Unexpected Virtue of Ignorance),7.7,"Michael Keaton,Zach Galifianakis,Edward Norton"
Zack Snyder,USA,9 March 2007,300,7.6,"Gerard Butler,Lena Headey,David Wenham"
Nicolas Winding Refn,USA,16 September 2011,Drive,7.8,"Ryan Gosling,Carey Mulligan,Bryan Cranston"
Tim Burton,USA,7 October 1994,Ed Wood,7.8,"Johnny Depp,Martin Landau,Sarah Jessica Parker"
Ömer Faruk Sorak,Netherlands,18 November 2004,G.O.R.A.,8.0,"Cem Yilmaz,Özge Özberk,Ozan Güven"
Fatih Akin,Netherlands,2 September 2004,Head-On,7.9,"Birol Ünel,Sibel Kekilli,Güven Kiraç"
Stephen Chbosky,USA,12 October 2012,The Perks of Being a Wallflower,8.0,"Logan Lerman,Emma Watson,Ezra Miller"
Richard Schenkman,USA,10 June 2007,The Man from Earth,7.9,"David Lee Smith,Tony Todd,John Billingsley"
Leo McCarey,USA,17 November 1933,Duck Soup,7.8,"Groucho Marx,Harpo Marx,Chico Marx"
Tod Browning,USA,20 February 1932,Freaks,7.9,"Wallace Ford,Leila Hyams,Olga Baclanova"
Brad Bird,USA,6 August 1999,The Iron Giant,8.0,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston"
Peter Weir,USA,9 June 1989,Dead Poets Society,8.1,"Robin Williams,Robert Sean Leonard,Ethan Hawke"
Brad Bird,USA,5 November 2004,The Incredibles,8.0,"Craig T. Nelson,Samuel L. Jackson,Holly Hunter"
Terry Gilliam,USA,18 December 1985,Brazil,7.9,"Jonathan Pryce,Kim Greist,Robert De Niro"
George A. Romero,USA,4 October 1968,Night of the Living Dead,7.9,"Duane Jones,Judith O'Dea,Karl Hardman"
Quentin Tarantino,USA,16 April 2004,Kill Bill: Vol. 2,8.0,"Uma Thurman,David Carradine,Michael Madsen"
James Whale,USA,21 November 1931,Frankenstein,7.8,"Colin Clive,Mae Clarke,Boris Karloff"
F.W. Murnau,USA,3 June 1929,Nosferatu,7.9,"Max Schreck,Alexander Granach,Gustav von Wangenheim"
Kevin Costner,USA,21 November 1990,Dances with Wolves,8.0,"Kevin Costner,Mary McDonnell,Graham Greene"
Jean-Marc Vallée,USA,22 November 2013,Dallas Buyers Club,8.0,"Matthew McConaughey,Jennifer Garner,Jared Leto"
Franklin J. Schaffner,USA,3 April 1968,Planet of the Apes,8.0,"Charlton Heston,Roddy McDowall,Kim Hunter"
Martin Campbell,USA,17 November 2006,Casino Royale,8.0,"Daniel Craig,Eva Green,Judi Dench"
David Lynch,USA,19 October 2001,Mulholland Drive,8.0,"Naomi Watts,Laura Harring,Justin Theroux"
J.J. Abrams,USA,8 May 2009,Star Trek,7.9,"Chris Pine,Zachary Quinto,Simon Pegg"
George A. Romero,USA,24 May 1979,Dawn of the Dead,7.9,"David Emge,Ken Foree,Scott H. Reiniger"
Spike Jonze,USA,10 January 2014,Her,8.0,"Joaquin Phoenix,Amy Adams,Scarlett Johansson"
Danny Boyle,USA,25 December 2008,Slumdog Millionaire,8.0,"Dev Patel,Freida Pinto,Saurabh Shukla"
Gary Trousdale,USA,22 November 1991,Beauty and the Beast,8.0,"Paige O'Hara,Robby Benson,Jesse Corti"
Ron Clements,USA,20 November 1992,Aladdin,8.0,"Scott Weinger,Robin Williams,Linda Larkin"
Brad Bird,USA,29 June 2007,Ratatouille,8.0,"Brad Garrett,Lou Romano,Patton Oswalt"
Alfred Hitchcock,USA,25 September 1948,Rope,8.0,"James Stewart,John Dall,Farley Granger"
Ang Lee,USA,21 November 2012,Life of Pi,7.9,"Suraj Sharma,Irrfan Khan,Adil Hussain"
Terry Jones,USA,17 August 1979,Monty Python's Life of Brian,8.1,"Graham Chapman,John Cleese,Michael Palin"
Paul Thomas Anderson,USA,7 January 2000,Magnolia,8.0,"Tom Cruise,Jason Robards,Julianne Moore"
Pete Docter,USA,2 November 2001,"Monsters, Inc.",8.0,"Billy Crystal,John Goodman,Mary Gibbs"
Kar-Wai Wong,USA,9 March 2001,In the Mood for Love,8.1,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu"
Federico Fellini,USA,24 June 1963,8½,8.0,"Marcello Mastroianni,Anouk Aimée,Claudia Cardinale"
Woody Allen,USA,20 April 1977,Annie Hall,8.0,"Woody Allen,Diane Keaton,Tony Roberts"
Richard Linklater,USA,30 July 2004,Before Sunset,8.0,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
Richard Linklater,USA,27 January 1995,Before Sunrise,8.1,"Ethan Hawke,Julie Delpy,Andrea Eckert"
Alejandro Amenábar,USA,4 March 2005,The Sea Inside,8.0,"Javier Bardem,Belén Rueda,Lola Dueñas"
Terry Gilliam,Netherlands,22 January 1976,Monty Python and the Holy Grail,8.2,"Graham Chapman,John Cleese,Eric Idle"
Akira Kurosawa,USA,25 March 1956,Ikiru,8.3,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori"
Stanley Kramer,Netherlands,21 December 1961,Judgment at Nuremberg,8.2,"Spencer Tracy,Burt Lancaster,Richard Widmark"
Ingmar Bergman,USA,22 June 1959,Wild Strawberries,8.2,"Victor Sjöström,Bibi Andersson,Ingrid Thulin"
Florian Henckel von Donnersmarck,USA,30 March 2007,The Lives of Others,8.4,"Ulrich Mühe,Martina Gedeck,Sebastian Koch"
Martin Brest,USA,8 January 1993,Scent of a Woman,8.0,"Al Pacino,Chris O'Donnell,James Rebhorn"
Clint Eastwood,USA,15 October 2003,Mystic River,7.9,"Sean Penn,Tim Robbins,Kevin Bacon"
Edgar Wright,USA,24 September 2004,Shaun of the Dead,7.9,"Simon Pegg,Nick Frost,Kate Ashfield"
Michel Hazanavicius,USA,20 January 2012,The Artist,7.9,"Jean Dujardin,Bérénice Bejo,John Goodman"
William Friedkin,USA,26 December 1973,The Exorcist,8.0,"Ellen Burstyn,Max von Sydow,Linda Blair"
Darren Aronofsky,USA,17 December 2010,Black Swan,8.0,"Natalie Portman,Mila Kunis,Vincent Cassel"
Sidney Lumet,USA,27 November 1976,Network,8.1,"Faye Dunaway,William Holden,Peter Finch"
Steven Spielberg,USA,11 June 1993,Jurassic Park,8.1,"Sam Neill,Laura Dern,Jeff Goldblum"
Tom Hooper,USA,25 December 2010,The King's Speech,8.0,"Colin Firth,Geoffrey Rush,Helena Bonham Carter"
Paul Thomas Anderson,USA,25 January 2008,There Will Be Blood,8.2,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds"
Stanley Kubrick,USA,6 June 1956,The Killing,8.0,"Sterling Hayden,Coleen Gray,Vince Edwards"
Ingmar Bergman,Netherlands,3 March 1983,Fanny and Alexander,8.1,"Bertil Guve,Pernilla Allwin,Kristina Adolphson"
John Ford,USA,15 March 1940,The Grapes of Wrath,8.0,"Henry Fonda,Jane Darwell,John Carradine"
Steven Spielberg,USA,20 June 1975,Jaws,8.0,"Roy Scheider,Robert Shaw,Richard Dreyfuss"
Tate Taylor,USA,10 August 2011,The Help,8.1,"Emma Stone,Viola Davis,Octavia Spencer"
Robert Wiene,Germany,27 February 1920,The Cabinet of Dr. Caligari,8.1,"Werner Krauss,Conrad Veidt,Friedrich Feher"
Mathieu Kassovitz,USA,23 February 1996,La Haine,8.1,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui"
Rob Reiner,USA,26 November 1986,Stand by Me,8.1,"Wil Wheaton,River Phoenix,Corey Feldman"
Andrew Lau,Netherlands,9 September 2004,Infernal Affairs,8.0,"Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong"
Jim Sheridan,USA,25 February 1994,In the Name of the Father,8.1,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie"
Wim Wenders,USA,6 May 1988,Wings of Desire,8.0,"Bruno Ganz,Solveig Dommartin,Otto Sander"
Clint Eastwood,USA,28 January 2005,Million Dollar Baby,8.1,"Hilary Swank,Clint Eastwood,Morgan Freeman"
Billy Wilder,Brazil,10 August 1953,Stalag 17,8.0,"William Holden,Don Taylor,Otto Preminger"
Rob Reiner,USA,9 October 1987,The Princess Bride,8.1,"Cary Elwes,Mandy Patinkin,Robin Wright"
Sergio Leone,USA,18 January 1967,A Fistful of Dollars,8.0,"Clint Eastwood,Gian Maria Volontè,Marianne Koch"
Wes Anderson,USA,28 March 2014,The Grand Budapest Hotel,8.1,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric"
Ashutosh Gowariker,USA,15 June 2001,Lagaan: Once Upon a Time in India,8.1,"Aamir Khan,Raghuvir Yadav,Gracy Singh"
Alfred Hitchcock,USA,12 April 1940,Rebecca,8.1,"Laurence Olivier,Joan Fontaine,George Sanders"
Sujoy Ghosh,Netherlands,9 March 2012,Kahaani,8.1,"Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta"
David Lean,USA,14 December 1957,The Bridge on the River Kwai,8.1,"William Holden,Alec Guinness,Jack Hawkins"
William Wyler,Netherlands,30 January 1948,The Best Years of Our Lives,8.0,"Myrna Loy,Dana Andrews,Fredric March"
Andrew Stanton,USA,30 May 2003,Finding Nemo,8.1,"Albert Brooks,Ellen DeGeneres,Alexander Gould"
Victor Fleming,USA,17 January 1940,Gone with the Wind,8.1,"Clark Gable,Vivien Leigh,Thomas Mitchell"
Denis Villeneuve,Netherlands,10 February 2011,Incendies,8.3,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette"
Adam Elliot,Netherlands,1 September 2011,Mary and Max,8.1,"Toni Collette,Philip Seymour Hoffman,Eric Bana"
Damián Szifron,Netherlands,30 October 2014,Wild Tales,8.1,"Darío Grandinetti,María Marull,Mónica Villa"
Andrei Tarkovsky,Netherlands,17 April 1980,Stalker,8.2,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn"
David Lean,Netherlands,18 July 1963,Lawrence of Arabia,8.3,"Peter O'Toole,Alec Guinness,Anthony Quinn"
F.W. Murnau,USA,4 November 1927,Sunrise,8.1,"George O'Brien,Janet Gaynor,Margaret Livingston"
Vittorio De Sica,USA,13 December 1949,Bicycle Thieves,8.3,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell"
Neeraj Pandey,India,5 September 2008,A Wednesday,8.1,"Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill"
Joseph L. Mankiewicz,USA,27 October 1950,All About Eve,8.2,"Bette Davis,Anne Baxter,George Sanders"
Levent Semerci,Netherlands,22 October 2009,De ademtocht,8.0,"Mete Horozoglu,Ilker Kizmaz,Baris Bagci"
James Cameron,USA,26 October 1984,The Terminator,8.0,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn"
Terry Gilliam,USA,5 January 1996,12 Monkeys,8.0,"Bruce Willis,Madeleine Stowe,Brad Pitt"
Harold Ramis,USA,12 February 1993,Groundhog Day,8.0,"Bill Murray,Andie MacDowell,Chris Elliott"
Sidney Lumet,USA,25 December 1975,Dog Day Afternoon,8.0,"Al Pacino,John Cazale,Penelope Allen"
Frank Miller,USA,1 April 2005,Sin City,8.0,"Mickey Rourke,Clive Owen,Bruce Willis"
Ethan Coen,USA,21 November 2007,No Country for Old Men,8.1,"Tommy Lee Jones,Javier Bardem,Josh Brolin"
Alejandro G. Iñárritu,USA,13 April 2001,Amores Perros,8.1,"Emilio Echevarría,Gael García Bernal,Goya Toledo"
Steve McQueen,USA,8 November 2013,12 Years a Slave,8.1,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender"
Bong Joon Ho,South Korea,2 May 2003,Memories of Murder,8.1,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim"
Henri-Georges Clouzot,USA,16 February 1955,The Wages of Fear,8.1,"Yves Montand,Charles Vanel,Peter van Eyck"
James Gunn,USA,1 August 2014,Guardians of the Galaxy,8.0,"Chris Pratt,Vin Diesel,Bradley Cooper"
Farhan Akhtar,India,10 August 2001,Dil Chahta Hai,8.1,"Aamir Khan,Saif Ali Khan,Akshaye Khanna"
Anurag Basu,Netherlands,14 September 2012,Barfi!,8.1,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz"
Akira Kurosawa,USA,22 November 1961,Throne of Blood,8.1,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada"
Ingmar Bergman,USA,16 March 1967,Persona,8.1,"Bibi Andersson,Liv Ullmann,Margaretha Krook"
Orson Welles,Netherlands,23 January 1959,Touch of Evil,8.0,"Charlton Heston,Orson Welles,Janet Leigh"
